,age,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,is_violent_recid,decile_score,v_decile_score,priors_count,start,end,event,two_year_recid,labels
284,44,0,0,0,0,24,0,7,3,24,0,53,0,0,1
2942,32,0,0,0,4,9,0,9,7,9,0,40,0,0,1
5694,27,0,0,0,0,2,0,3,2,2,3,912,0,0,0
1997,33,0,0,0,0,1,0,1,2,1,1,1066,0,0,0
4151,51,0,0,0,0,14,0,5,2,14,0,538,0,0,1
2325,67,0,0,0,0,4,0,1,1,4,0,799,0,0,0
6134,54,0,0,0,0,21,0,6,1,21,0,1100,0,0,1
4476,49,0,0,0,0,0,0,2,2,0,1,749,1,0,0
1973,58,0,0,0,0,16,0,9,9,16,0,466,0,0,1
3509,45,0,0,0,0,0,0,1,1,0,0,995,0,0,0
4018,44,0,0,0,0,0,0,1,1,0,1,492,0,0,0
919,63,0,0,0,0,3,0,9,1,3,219,1116,0,0,1
1842,31,0,0,0,0,5,0,10,10,5,0,939,0,0,1
330,45,0,0,0,0,1,0,1,1,1,0,1115,0,0,0
2270,25,0,0,0,0,1,0,3,3,1,3,1131,0,0,0
1700,23,0,0,0,0,3,0,7,5,3,0,134,0,0,1
3510,23,0,0,0,0,1,0,2,4,1,0,455,0,0,0
280,35,0,0,0,0,2,0,10,8,2,0,798,0,0,1
1933,36,0,0,0,0,2,0,2,1,2,1,785,0,0,0
2011,25,0,0,0,0,0,0,3,4,0,1,758,0,0,0
1717,51,0,0,0,0,1,0,2,2,1,162,918,0,0,0
2253,28,0,0,0,0,0,0,2,2,0,0,1173,0,0,0
4526,23,0,0,0,0,1,0,6,5,1,35,1133,0,0,1
2009,35,0,0,0,0,2,0,2,2,2,1,928,0,0,0
4337,26,0,0,0,0,2,0,2,3,2,8,545,0,0,0
884,32,0,0,0,0,1,0,7,2,1,0,762,0,0,1
3624,45,0,0,0,0,1,0,9,8,1,0,779,0,0,1
624,29,0,0,0,0,0,0,1,1,0,1,753,0,0,0
2685,20,0,0,0,0,1,0,4,6,1,0,772,0,0,0
4643,34,0,0,0,0,2,0,2,1,2,0,900,0,0,0
